rank_test_score,mean_test_score,params
1,0.7728625822083766,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'coef0': 1, 'C': 5.994842503189409}"
2,0.771374177916234,"{'kernel': 'poly', 'gamma': 0.021544346900318822, 'degree': 3, 'decision_function_shape': 'ovo', 'coef0': 1, 'C': 0.03593813663804628}"
3,0.7651090342679128,"{'kernel': 'poly', 'gamma': 0.046415888336127774, 'degree': 3, 'coef0': 1, 'C': 278.2559402207126}"
4,0.7571131879543095,"{'kernel': 'poly', 'gamma': 0.1, 'degree': 3, 'decision_function_shape': 'ovo', 'coef0': 1, 'C': 77.42636826811278}"
5,0.7571131879543095,"{'kernel': 'poly', 'gamma': 0.1, 'degree': 3, 'coef0': 1, 'C': 1.6681005372000592}"
6,0.7571131879543095,"{'kernel': 'poly', 'gamma': 0.1, 'degree': 3, 'coef0': 1, 'C': 0.01}"
7,0.7567324333679474,"{'kernel': 'poly', 'gamma': 0.002154434690031882, 'degree': 4, 'coef0': 1, 'C': 5.994842503189409}"
8,0.7466943579093112,"{'kernel': 'poly', 'gamma': 0.001, 'degree': 3, 'coef0': 0, 'C': 1000.0}"
9,0.7301834544825199,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'decision_function_shape': 'ovo', 'coef0': 0, 'C': 0.464158883361278}"
10,0.729006576670128,"{'kernel': 'poly', 'gamma': 0.021544346900318822, 'degree': 2, 'decision_function_shape': 'ovo', 'coef0': 0, 'C': 1000.0}"
11,0.729006576670128,"{'kernel': 'poly', 'gamma': 0.046415888336127774, 'degree': 2, 'coef0': 0, 'C': 21.544346900318846}"
12,0.729006576670128,"{'kernel': 'poly', 'gamma': 0.046415888336127774, 'degree': 2, 'coef0': 0, 'C': 0.464158883361278}"
13,0.729006576670128,"{'kernel': 'poly', 'gamma': 0.046415888336127774, 'degree': 2, 'coef0': 0, 'C': 1.6681005372000592}"
14,0.7130148840429213,"{'kernel': 'poly', 'gamma': 0.002154434690031882, 'degree': 3, 'coef0': 1, 'C': 0.464158883361278}"
15,0.7012807199723087,"{'kernel': 'poly', 'gamma': 0.004641588833612777, 'degree': 4, 'coef0': 0, 'C': 77.42636826811278}"
16,0.6886465905157494,"{'kernel': 'poly', 'gamma': 0.00046415888336127773, 'degree': 4, 'coef0': 1, 'C': 77.42636826811278}"
17,0.676116303219107,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 1.6681005372000592}"
18,0.6240567670474212,"{'kernel': 'rbf', 'gamma': 0.00021544346900318845, 'C': 77.42636826811278}"
19,0.6155417099342333,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'coef0': 0, 'C': 0.03593813663804628}"
20,0.5888888888888889,"{'kernel': 'rbf', 'gamma': 0.00021544346900318845, 'C': 21.544346900318846}"
21,0.5814122533748702,"{'kernel': 'rbf', 'gamma': 0.002154434690031882, 'C': 0.464158883361278}"
22,0.5528210453444098,"{'kernel': 'poly', 'gamma': 0.002154434690031882, 'degree': 2, 'coef0': 0, 'C': 0.464158883361278}"
23,0.5179646936656283,"{'kernel': 'rbf', 'gamma': 0.00046415888336127773, 'C': 1.6681005372000592}"
24,0.4966770508826583,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 0.464158883361278}"
25,0.4782623745240568,"{'kernel': 'poly', 'gamma': 0.002154434690031882, 'degree': 3, 'coef0': 0, 'C': 0.464158883361278}"
26,0.4411214953271028,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 0.464158883361278}"
27,0.4383523710626514,"{'kernel': 'linear', 'decision_function_shape': 'ovo', 'C': 0.1291549665014884}"
28,0.4096227068189685,"{'kernel': 'rbf', 'gamma': 0.00046415888336127773, 'decision_function_shape': 'ovo', 'C': 0.464158883361278}"
29,0.4064035998615438,"{'kernel': 'linear', 'decision_function_shape': 'ovo', 'C': 21.544346900318846}"
30,0.4061959155417099,"{'kernel': 'rbf', 'gamma': 0.021544346900318822, 'decision_function_shape': 'ovo', 'C': 278.2559402207126}"
31,0.4021114572516441,"{'kernel': 'rbf', 'gamma': 0.021544346900318822, 'C': 278.2559402207126}"
32,0.3616130148840429,"{'kernel': 'poly', 'gamma': 0.004641588833612777, 'degree': 2, 'decision_function_shape': 'ovo', 'coef0': 1, 'C': 0.01}"
33,0.323883696780893,"{'kernel': 'poly', 'gamma': 0.002154434690031882, 'degree': 3, 'decision_function_shape': 'ovo', 'coef0': 1, 'C': 0.01}"
34,0.3060574593284874,"{'kernel': 'poly', 'gamma': 0.002154434690031882, 'degree': 4, 'decision_function_shape': 'ovo', 'coef0': 0, 'C': 0.464158883361278}"
35,0.2682589131187262,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 0.464158883361278}"
36,0.1966770508826583,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 0.03593813663804628}"
37,0.1565593631014191,"{'kernel': 'rbf', 'gamma': 0.046415888336127774, 'C': 278.2559402207126}"
38,0.1565593631014191,"{'kernel': 'rbf', 'gamma': 0.046415888336127774, 'C': 1.6681005372000592}"
39,0.1439944617514711,"{'kernel': 'rbf', 'gamma': 0.00046415888336127773, 'decision_function_shape': 'ovo', 'C': 0.03593813663804628}"
40,0.1427829698857736,"{'kernel': 'rbf', 'gamma': 0.00046415888336127773, 'C': 0.03593813663804628}"
41,0.1274489442713741,"{'kernel': 'poly', 'gamma': 0.001, 'degree': 2, 'coef0': 1, 'C': 0.01}"
42,0.1222914503288335,"{'kernel': 'poly', 'gamma': 0.00046415888336127773, 'degree': 4, 'decision_function_shape': 'ovo', 'coef0': 1, 'C': 0.01}"
43,0.0546902042229145,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 278.2559402207126}"
44,0.0546902042229145,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 1000.0}"
45,0.0546902042229145,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 5.994842503189409}"
46,0.0357909311180339,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 0.03593813663804628}"
47,0.0335410176531671,"{'kernel': 'poly', 'gamma': 0.00046415888336127773, 'degree': 2, 'coef0': 0, 'C': 0.1291549665014884}"
48,0.031914157147802,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 2, 'coef0': 1, 'C': 0.01}"
49,0.031914157147802,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 4, 'coef0': 0, 'C': 77.42636826811278}"
50,0.031914157147802,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 2, 'coef0': 0, 'C': 0.03593813663804628}"
51,0.031914157147802,"{'kernel': 'rbf', 'gamma': 0.021544346900318822, 'C': 0.01}"
52,0.031914157147802,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 0.464158883361278}"
53,0.031914157147802,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 4, 'decision_function_shape': 'ovo', 'coef0': 0, 'C': 0.464158883361278}"
54,0.031914157147802,"{'kernel': 'poly', 'gamma': 0.00021544346900318845, 'degree': 3, 'decision_function_shape': 'ovo', 'coef0': 0, 'C': 0.464158883361278}"
55,0.031914157147802,"{'kernel': 'rbf', 'gamma': 0.046415888336127774, 'decision_function_shape': 'ovo', 'C': 0.03593813663804628}"
56,0.031914157147802,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 4, 'decision_function_shape': 'ovo', 'coef0': 0, 'C': 0.03593813663804628}"
57,0.031914157147802,"{'kernel': 'rbf', 'gamma': 0.021544346900318822, 'decision_function_shape': 'ovo', 'C': 0.03593813663804628}"
58,0.031914157147802,"{'kernel': 'poly', 'gamma': 0.0001, 'degree': 3, 'decision_function_shape': 'ovo', 'coef0': 0, 'C': 1.6681005372000592}"
59,0.031914157147802,"{'kernel': 'rbf', 'gamma': 0.046415888336127774, 'decision_function_shape': 'ovo', 'C': 0.01}"
60,0.031914157147802,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 0.03593813663804628}"
